DriveID,DriveLabel,Path,Depth,Type,Name,Subdirs,Files,ItemCount,FileTypes,Size,SizeUnit
F826DFEC,YourMom,E:\,0,File,._DallasHail.mp4,,,,,0.0,MB
F826DFEC,YourMom,E:\,0,File,cuda_12.8.0_571.96_windows.exe,,,,,3.15,GB
F826DFEC,YourMom,E:\,0,File,QGIS_Canopy_Report.py,,,,,0.02,MB
F826DFEC,YourMom,E:\,0,File,QGIS_Canopy_v3.txt,,,,,0.02,MB
F826DFEC,YourMom,E:\,0,File,5556_W_77th_St_Burbank_IL_60459_USA.zip,,,,,1.46,GB
F826DFEC,YourMom,E:\,0,File,cuda_12.8.0_571.96_windows.exe,,,,>=2GB,3.15,GB
F826DFEC,YourMom,E:\,0,Folder,E:,3,4,4,mp4:1; py:1; txt:1; zip:1,1.46,GB
F826DFEC,YourMom,E:\BitLockerRecoveryKeys,1,Folder,BitLockerRecoveryKeys,0,3,3,txt:3,0.0,MB
F826DFEC,YourMom,E:\ArcGIS_Pro_35_Deep_Learning_Libraries,1,Folder,ArcGIS_Pro_35_Deep_Learning_Libraries,0,3,3,cab:2; msi:1,3.57,GB
F826DFEC,YourMom,E:\ThermalReportPackage,1,Folder,ThermalReportPackage,1,1,1,msi:1,1.26,GB
F826DFEC,YourMom,E:\ThermalReportPackage\ThermalReport,2,Folder,ThermalReport,1,0,0,,0.0,MB
F826DFEC,YourMom,E:\ThermalReportPackage\ThermalReport\Scripts,3,Folder,Scripts,0,4,4,png:2; txt:2,3.82,MB
D89C7E1A,Cell 16,E:\,0,Folder,E:,9,0,0,,0.0,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida1,1,Folder,QS_Jupiter_Florida1,0,0,0,,0.0,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida3,1,Folder,QS_Jupiter_Florida3,0,0,0,,0.0,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida2,1,Folder,QS_Jupiter_Florida2,0,0,0,,0.0,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida4,1,File,QS_Jupiter_Florida_Ortho-orthomosaic.tiff,,,,>=2GB,38.92,GB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida4,1,Folder,QS_Jupiter_Florida4,0,1,1,xml:1,0.01,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida5,1,File,QS_Jupiter_Florida5_-orthomosaic.tiff,,,,>=2GB,26.9,GB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida5,1,Folder,QS_Jupiter_Florida5,0,1,1,xml:1,0.01,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida6,1,File,QS_Jupiter_Florida6_Ortho-orthomosaic.tiff,,,,>=2GB,37.98,GB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida6,1,Folder,QS_Jupiter_Florida6,0,1,1,xml:1,0.01,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida7,1,File,QS_Jupiter_Florida7_Ortho-orthomosaic.tiff,,,,>=2GB,57.07,GB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida7,1,Folder,QS_Jupiter_Florida7,0,1,1,xml:1,0.01,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida8,1,File,QS_Jupiter_Florida8_Ortho-orthomosaic.tiff,,,,>=2GB,46.33,GB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida8,1,Folder,QS_Jupiter_Florida8,0,1,1,xml:1,0.01,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida4_ortho,1,File,QS_Jupiter_Florida4AgisoftOrtho.tif,,,,>=2GB,67.28,GB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida4_ortho,1,Folder,QS_Jupiter_Florida4_ortho,1,1,1,psx:1,0.0,MB
D89C7E1A,Cell 16,E:\QS_Jupiter_Florida4_ortho\Jupiter_Florida4.files,2,Folder,Jupiter_Florida4.files,1,2,2,zip:1; noext:1,0.0,MB
